No,Exoplanet's Name,Radius (Rjup),Mass,Semi Major Axis (AU),Eccentricity,Orbital Period (days),,,,
1,AU Mic d,0.0898,0.0032,0.0847,0.001,12.7381,,,,
2,CD Cet b,0.1284,0.0124,0.0185,0,2.2907,,AVG MASS (Mjup),,
3,CoRoT-24 b,0.33,0.018,0.056,0,5.1134,,0.014605051,≈,0.0146
4,EPIC 201170410 b,0.0934,0.0036,0.0349,0,6.7987,,,,
5,EPIC 201238110 b,0.167,0.0149,0.1346,0,28.1656,,,,
6,EPIC 201757695 b,0.081,0.0022,0.0296,0,2.0478,,,,
7,EPIC 201833600 c,0.089,0.0031,0.0416,0,3.9615,,,,
8,EPIC 201841433 b,0.093,0.0036,0.035,0,4.1698,,,,
9,EPIC 205950854 c,0.117,0.0082,0.0623,0,8.0507,,,,
10,EPIC 206024342 b,0.152,0.0136,0.0521,0,4.5076,,,,
11,EPIC 206032309 b,0.09,0.0032,0.0239,0,2.8781,,,,
12,EPIC 206042996 b,0.145,0.013,0.049,0,5.2971,,,,
13,EPIC 206215704 b,0.08,0.0021,0.025,0,2.2537,,,,
14,EPIC 211939692.01,0.232,0.0202,0.1875,0.16,26.8549,,,,
15,EPIC 211939692.02,0.232,0.0202,0.2428,0.06,39.553,,,,
16,EPIC 212297394 b,0.118,0.0084,0.0319,0,2.2894,,,,
17,EPIC 212424622 b,0.194,0.0171,0.1397,0,18.0983,,,,
18,EPIC 212499991 b,0.143,0.0129,0.2025,0,34.885,,,,
19,EPIC 212587672 b,0.1,0.0046,0.1185,0,15.2841,,,,
20,EPIC 212737443 b,0.231,0.0291,0.098,0.2,13.603,,,,
21,EPIC 212737443 c,0.24,0.0303,0.28,0,65.55,,,,
22,GJ 15A b,0.1199,0.0095,0.072,0.094,11.4407,,,,
23,GJ 160.2 b,0.1526,0.0245,0.079,0.02,9.7471,,,,
24,GJ 163 b,0.162,0.0311,0.06,0.02,8.6312,,,,
25,GJ 163 c,0.1516,0.0239,0.124,0.03,25.637,,,,
26,GJ 163 f,0.1474,0.0214,0.326,0.04,109.5,,,,
27,GJ 176 b,0.1533,0.025,0.066,0.08,8.7748,,,,
28,GJ 176 c,0.1506,0.0233,0.146,0.02,28.586,,,,
29,GJ 179 c,0.1356,0.0154,0.032,0.04,3.4798,,,,
30,GJ 180 b,0.1472,0.0212,0.092,0.02,17.132,,,,
31,GJ 180 c,0.1452,0.0201,0.129,0.09,24.329,,,,
32,GJ 180 d,0.1511,0.0236,0.31,0.16,106.341,,,,
33,GJ 221 e,0.1226,0.0104,0.03,0.03,2.3946,,,,
34,GJ 229 A c,0.1533,0.0249,0.339,0.29,122.005,,,,
35,GJ 251 b,0.1299,0.013,0.0818,0.1,14.238,,,,
36,GJ 273 b,0.1189,0.0092,0.091,0.1,18.64,,,,
37,GJ 273 c,0.0937,0.0037,0.036,0.17,4.7232,,,,
38,GJ 273 e,0.1601,0.0297,0.849,0,542,,,,
39,GJ 357 c,0.1261,0.0116,0.0607,0.072,9.1246,,,,
40,GJ 357 d,0.1497,0.0227,0.204,0.033,55.698,,,,
41,GJ 367 b,0.0526,0.0017,0.0069,0.1,0.3219,,,,
42,GJ 367 c,0.1295,0.0128,0.0768,0.09,11.53,,,,
43,GJ 367 d,0.143,0.019,0.1558,0.14,34.369,,,,
44,GJ 393 b,0.1032,0.0054,0.054,0,7.0268,,,,
45,GJ 414 A b,0.2632,0.0276,0.24,0.48,50.817,,,,
46,GJ 433 b,0.1425,0.0187,0.062,0.02,7.3708,,,,
47,GJ 433 d,0.1359,0.0155,0.178,0.03,36.052,,,,
48,GJ 486 b,0.1164,0.0089,0.0173,0.05,1.4671,,,,
49,GJ 536 b,0.1389,0.0169,0.0666,0.08,8.7076,,,,
50,GJ 581 c,0.1407,0.0178,0.074,0.087,12.919,,,,
51,GJ 581 e,0.1024,0.0052,0.029,0.125,3.153,,,,
